title,url,source,fetched_at,summary
Israel-Gaza War,https://www.bbc.com/news/topics/c2vdnvdg6xxt,BBC,2025-10-17 05:04:07.293470,
War in Ukraine,https://www.bbc.com/news/war-in-ukraine,BBC,2025-10-17 05:04:07.293470,
US & Canada,https://www.bbc.com/news/us-canada,BBC,2025-10-17 05:04:07.293470,
UK,https://www.bbc.com/news/uk,BBC,2025-10-17 05:04:07.293470,
Africa,https://www.bbc.com/news/world/africa,BBC,2025-10-17 05:04:07.293470,
Asia,https://www.bbc.com/news/world/asia,BBC,2025-10-17 05:04:07.293470,
Australia,https://www.bbc.com/news/world/australia,BBC,2025-10-17 05:04:07.293470,
Europe,https://www.bbc.com/news/world/europe,BBC,2025-10-17 05:04:07.293470,
Latin America,https://www.bbc.com/news/world/latin_america,BBC,2025-10-17 05:04:07.293470,
Middle East,https://www.bbc.com/news/world/middle_east,BBC,2025-10-17 05:04:07.293470,
In Pictures,https://www.bbc.com/news/in_pictures,BBC,2025-10-17 05:04:07.293470,
BBC InDepth,https://www.bbc.com/news/bbcindepth,BBC,2025-10-17 05:04:07.293470,
BBC Verify,https://www.bbc.com/news/bbcverify,BBC,2025-10-17 05:04:07.293470,
Israel-Gaza War,https://www.bbc.com/news/topics/c2vdnvdg6xxt,BBC,2025-10-17 05:04:07.293470,
War in Ukraine,https://www.bbc.com/news/war-in-ukraine,BBC,2025-10-17 05:04:07.293470,
